"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"69","org.apache.tools.ant.dispatch.DispatchUtils","0","0","2","0","0","0","0","0","0","0","2","0","278","0","0","0","0","0","0","0"
"70","org.apache.tools.ant.taskdefs.FixCRLF$AddAsisRemove","0","0","2","0","0","0","0","0","0","0","2","0","20","0","0","0","0","0","0","0"
"71","org.apache.tools.ant.taskdefs.Execute$MacCommandLauncher","0","0","2","0","0","0","0","0","0","0","1","0","41","0","0","0","0","0","0","0"
"72","org.apache.tools.ant.filters.ReplaceTokens","0","0","14","0","0","0","0","0","0","0","7","0","488","0","0","0","0","0","0","0.321428571428569"
"73","org.apache.tools.ant.taskdefs.email.EmailAddress","0","0","8","0","0","0","0","0","0","0","7","0","286","0","0","0","0","0","0","0.125"
"74","org.apache.tools.ant.Main","0","0","33","0","0","0","0","0","0","0","5","0","2282","0","0","0","0","0","0","0.318181818181813"
"75","org.apache.tools.ant.types.Environment","0","0","4","0","1","0","0","0","0","0","4","0","51","0","0","0","0","0","0","0.125"
"76","org.apache.tools.ant.taskdefs.Rename","0","0","6","0","0","0","0","0","0","0","5","0","105","0","1","0","0","0","0","0.333333333333334"
"77","org.apache.tools.ant.taskdefs.compilers.Kjc","0","0","3","0","0","0","0","0","0","0","2","0","145","0","0","0","0","0","0","0"
"78","org.apache.tools.ant.util.ConcatResourceInputStream","0","0","10","0","0","1","0","0","1","0","7","0","158","0","1","0","0","0","0","0.300000000000001"
"79","org.apache.tools.ant.types.PatternSet","0","0","23","0","1","2","2","22","1","2","18","-0.00324675324675316","639","0","0","-0.0113122171945702","0.0008469791078487","0","0","-0.413131313131313"
"80","org.apache.tools.ant.taskdefs.AbstractJarSignerTask","0","0","24","0","2","0","0","0","0","0","13","0","352","0","3","0","0","0","0","0.291666666666666"
"81","org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$ComparatorName","0","0","2","0","0","0","0","0","0","0","2","0","16","0","0","0","0","0","0","0"
"82","org.apache.tools.ant.types.Assertions$BaseAssertion","0","0","7","0","2","0","0","0","0","0","5","0","80","0","0","0","0","0","0","0.142857142857144"
"83","org.apache.tools.ant.types.resources.selectors.Or","0","0","3","0","0","0","0","0","0","0","3","0","26","0","0","0","0","0","0","0"
"84","org.apache.tools.ant.taskdefs.Javadoc$JavadocOutputStream","0","0","3","0","0","0","0","0","0","0","0","0","73","0","1","0","0","0","0","0.333333333333332"
"85","org.apache.tools.ant.taskdefs.GZip","0","0","4","0","0","0","0","0","0","0","1","0","74","0","0","0","0","0","0","0.125"
"86","org.apache.tools.ant.taskdefs.condition.ParserSupports","0","0","8","0","0","0","0","0","0","0","7","0","169","0","0","0","0","0","0","0.625"
"87","org.apache.tools.ant.Diagnostics$1","0","0","2","0","0","0","0","0","0","0","1","0","9","0","0","0","0","0","0","0"
"88","org.apache.tools.ant.taskdefs.email.Message","0","0","11","0","0","0","0","0","0","0","11","0","179","0","0","0","0","0","0","0.227272727272727"
"89","org.apache.tools.ant.BuildLogger","0","0","4","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0"
"90","org.apache.tools.zip.ZipFile$OffsetEntry","0","0","6","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0.166666666666666"
"91","org.apache.tools.ant.util.ContainerMapper","0","0","8","0","2","0","0","0","0","0","7","0","88","0","0","0","0","0","0","-0.0625"
"92","org.apache.tools.ant.taskdefs.Chmod","0","0","18","0","0","0","0","0","0","0","16","0","306","0","1","0","0","0","0","-0.166666666666664"
"93","org.apache.tools.ant.taskdefs.Definer$OnError","0","0","3","0","0","0","0","0","0","0","3","0","39","0","0","0","0","0","0","1.33333333333333"
"94","org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache","0","0","12","0","0","0","0","0","0","0","12","0","234","0","0","0","0","0","0","0.166666666666664"
"95","org.apache.tools.ant.XmlLogger$TimedElement","0","0","7","0","0","0","0","0","0","0","1","0","47","0","0","0","0","0","0","0.142857142857142"
"96","org.apache.tools.ant.listener.MailLogger","0","0","8","0","0","2","19","0","0","2","2","0","506","0","0","0","0.0357142857142857","0","0","0.875"
"97","org.apache.tools.ant.taskdefs.Exit","0","0","12","0","0","0","0","0","0","0","8","0","283","0","1","0","0","0","0","0.208333333333332"
"98","org.apache.tools.ant.taskdefs.Javadoc","0","0","106","0","0","0","13","1279","0","0","81","-0.000986377456965504","2803","0.00163398692810457","11","-0.0289272351594348","-0.00401015106897461","-2","-2","-1.61155028546333"
"99","org.apache.tools.ant.taskdefs.Taskdef","0","0","2","0","0","0","0","0","0","0","1","0","37","0","0","0","0","0","0","0.5"
"100","org.apache.tools.ant.Task","0","0","29","0","70","2","0","0","2","0","19","0","376","0","3","0","0","0","0","0.103448275862069"
"101","org.apache.tools.ant.filters.TokenFilter$DeleteCharacters","0","0","6","0","0","0","0","0","0","0","4","0","76","0","0","0","0","0","0","0.0833333333333339"
"102","org.apache.tools.ant.util.ResourceUtils$Outdated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"103","org.apache.tools.ant.taskdefs.Tar$TarFileSet","0","0","7","0","0","0","0","0","0","0","7","0","54","0","0","0","0","0","0","0.142857142857142"
"104","org.apache.tools.ant.taskdefs.Replace$FileOutput","0","0","6","0","0","0","0","0","0","0","0","0","77","0","1","0","0","0","0","0.25"
"105","org.apache.tools.ant.types.Assertions$DisabledAssertion","0","0","2","0","0","0","0","0","0","0","2","0","7","0","0","0","0","0","0","0"
"106","org.apache.tools.ant.taskdefs.email.EmailTask$Encoding","0","0","2","0","0","0","0","0","0","0","2","0","24","0","0","0","0","0","0","0"
"107","org.apache.tools.ant.types.Mapper$MapperType","0","0","3","0","0","0","0","0","0","0","3","0","91","0","0","0","0","0","0","0.166666666666668"
"108","org.apache.tools.ant.IntrospectionHelper$AddNestedCreator","0","0","5","0","0","0","0","0","0","-1","0","-0.0125","80","-0.1","-1","0","0.0285714285714286","0","0","0.199999999999999"
"109","org.apache.tools.ant.types.selectors.SizeSelector$ByteUnits","0","0","2","0","0","0","0","0","0","0","2","0","152","0","0","0","0","0","0","0"
"110","org.apache.tools.ant.taskdefs.Execute$1","0","0","2","0","0","0","0","0","0","0","1","0","10","0","1","0","0","0","0","0.25"
"111","org.apache.tools.ant.taskdefs.Exec","0","0","10","0","0","0","0","0","0","0","7","0","366","0","0","0","0","0","0","0.299999999999997"
"112","org.apache.tools.ant.AntTypeDefinition","0","0","22","0","2","0","0","0","0","0","18","0","588","0","0","0","0","0","0","0.159090909090907"
"113","org.apache.tools.ant.util.PackageNameMapper","0","0","2","0","0","0","0","0","0","0","1","0","20","0","0","0","0","0","0","0"
"114","org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector$AlgorithmName","0","0","2","0","0","0","0","0","0","0","2","0","20","0","0","0","0","0","0","0"
"115","org.apache.tools.ant.util.FileTokenizer","0","0","3","0","1","0","0","0","0","0","3","0","11","0","0","0","0","0","0","0"
"116","org.apache.tools.ant.PathTokenizer","0","0","3","0","0","0","0","0","0","0","3","0","204","0","0","0","0","0","0","0.666666666666657"
"117","org.apache.tools.ant.taskdefs.Input$Handler","0","0","9","0","0","0","0","0","0","0","7","0","109","0","2","0","0","0","0","0.222222222222223"
"118","org.apache.tools.ant.filters.TokenFilter$ReplaceRegex","0","0","6","0","0","0","0","0","0","0","5","0","109","0","3","0","0","0","0","0.666666666666666"
"119","org.apache.tools.ant.taskdefs.Expand","0","0","16","0","1","0","1","0","0","0","11","0.0156565656565656","638","0.00757575757575757","3","0","0","0","0","0.5"
"120","org.apache.tools.ant.filters.util.ChainReaderHelper","0","0","10","0","0","0","0","0","0","0","8","0","345","0","1","0","0","0","0","0.399999999999999"
"121","org.apache.tools.ant.util.ResourceUtils","0","0","14","0","0","-4","-2","2","0","-4","10","0.076923076923077","895","0","2","0","0","0","0","-0.607142857142854"
"122","org.apache.tools.ant.types.resources.PropertyResource","0","0","10","0","0","0","0","0","0","0","9","0","134","0","0","0","0","0","0","0.100000000000001"
"123","org.apache.tools.ant.filters.ExpandProperties","0","0","4","0","0","0","0","0","0","0","4","0","91","0","0","0","0","0","0","0.625"
"124","org.apache.tools.ant.taskdefs.Concat$1","0","0","2","0","0","3","8","0","1","3","1","-2","33","1","2","0","0.666666666666667","0","0","15"
"125","org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter","0","0","18","0","4","0","1","3","0","0","5","0.0179738562091503","466","-0.0833333333333333","2","0","-0.00294117647058822","0","0","-0.324369747899159"
"126","org.apache.tools.ant.taskdefs.MatchingTask","0","0","42","0","12","1","0","0","1","0","40","0","328","0","1","0","0","0","0","0.0119047619047619"
"127","org.apache.tools.ant.taskdefs.Ant$Reference","0","0","3","0","0","0","0","0","0","0","3","0","17","0","0","0","0","0","0","0.166666666666667"
"128","org.apache.tools.ant.util.IdentityStack","0","0","6","0","0","0","0","0","0","0","6","-0.8","75","1","0","0","0","0","0","0"
"129","org.apache.tools.ant.types.PatternSet$NameEntry","0","0","8","0","0","0","0","0","0","0","7","0","126","0","1","0","0","0","0","0.25"
"130","org.apache.tools.ant.taskdefs.Definer$Format","0","0","2","0","0","0","0","0","0","0","2","0","18","0","0","0","0","0","0","0.5"
"131","org.apache.tools.ant.IntrospectionHelper$1","0","0","2","0","0","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0.5"
"132","org.apache.tools.ant.IntrospectionHelper$2","0","0","2","0","0","0","0","0","0","0","0","0","17","0","1","0","0","0","0","0.5"
